Class	Tx_expression	Gene_expression	DNase_Enh	DNase_Prom	H4K20me1_Enh	H4K20me1_Prom	H3K9me3_Enh	H3K9me3_Prom	H3K9ac_Enh	H3K9ac_Prom	H3K79me2_Enh	H3K79me2_Prom	H3K4me3_Enh	H3K4me3_Prom	H3K4me2_Enh	H3K4me2_Prom	H3K4me1_Enh	H3K4me1_Prom	H3K36me3_Enh	H3K36me3_Prom	H3K27me3_Enh	H3K27me3_Prom	H3K27ac_Enh	H3K27ac_Prom	H2A.Z_Enh	H2A.Z_Prom	CTCF_Enh	CTCF_Prom	Hi-C_contact
0	-0.997451	-0.982087	-0.825503	-0.104489	-0.31095	-0.31651	-0.859002	-0.429939	-0.884553	-0.432359	-0.755172	-0.140975	-0.935838	-0.560218	-0.660944	-0.164866	0.107272	-0.286239	-0.780635	0.0819318	-0.960984	-0.894232	-0.790426	-0.634162	-0.956471	-0.572319	-0.924287	1	-0.742259
0	-0.997451	-0.982087	-0.750572	-0.104489	-0.195881	-0.31651	-0.819401	-0.429939	-0.876979	-0.432359	-0.714077	-0.140975	-0.960911	-0.560218	-0.634126	-0.164866	0.410244	-0.286239	-0.760947	0.0819318	-0.946662	-0.894232	-0.626685	-0.634162	-0.927208	-0.572319	-0.965581	1	-0.717947
0	-0.997451	-0.982087	-0.793491	-0.104489	-0.175863	-0.31651	-0.833746	-0.429939	-0.912453	-0.432359	-0.763465	-0.140975	-0.9694	-0.560218	-0.765278	-0.164866	0.409425	-0.286239	-0.61819	0.0819318	-0.949135	-0.894232	-0.659763	-0.634162	-0.928659	-0.572319	-0.886357	1	-0.717947
0	-0.997451	-0.982087	-0.979411	-0.104489	-0.771745	-0.31651	-0.916943	-0.429939	-0.991734	-0.432359	-0.924879	-0.140975	-0.996568	-0.560218	-0.97934	-0.164866	-0.861467	-0.286239	-0.627954	0.0819318	-0.9759	-0.894232	-0.987753	-0.634162	-0.981561	-0.572319	-0.989437	1	-0.741459
0	-0.997451	-0.982087	-0.73298	-0.104489	-0.5188	-0.31651	-0.836247	-0.429939	-0.858017	-0.432359	-0.901937	-0.140975	-0.973107	-0.560218	-0.68411	-0.164866	0.257624	-0.286239	-0.686584	0.0819318	-0.950621	-0.894232	-0.701893	-0.634162	-0.905271	-0.572319	-0.938474	1	-0.72225
0	-0.997451	-0.982087	-0.961127	-0.104489	-0.561615	-0.31651	-0.889036	-0.429939	-0.969725	-0.432359	-0.871904	-0.140975	-0.992511	-0.560218	-0.920198	-0.164866	-0.472675	-0.286239	-0.749063	0.0819318	-0.97458	-0.894232	-0.946995	-0.634162	-0.969947	-0.572319	-0.728057	1	-0.72225
1	-0.997451	-0.982087	-0.949898	-0.104489	-0.803424	-0.31651	-0.925507	-0.429939	-0.956089	-0.432359	-0.958653	-0.140975	-0.988665	-0.560218	-0.901034	-0.164866	-0.381791	-0.286239	-0.697386	0.0819318	-0.979698	-0.894232	-0.898335	-0.634162	-0.967547	-0.572319	-0.967661	1	-0.563061
1	-0.997451	-0.982087	-0.494017	-0.104489	-0.757534	-0.31651	-0.923214	-0.429939	-0.94837	-0.432359	-0.958872	-0.140975	-0.975974	-0.560218	-0.896163	-0.164866	-0.496899	-0.286239	-0.866654	0.0819318	-0.977758	-0.894232	-0.89627	-0.634162	-0.964647	-0.572319	-0.953734	1	-0.563061
0	-0.997451	-0.982087	-0.897087	-0.104489	-0.764305	-0.31651	-0.862193	-0.429939	-0.945533	-0.432359	-0.946684	-0.140975	-0.994748	-0.560218	-0.977691	-0.164866	-0.65923	-0.286239	-0.188925	0.0819318	-0.965826	-0.894232	-0.939178	-0.634162	-0.96951	-0.572319	-0.981588	1	-0.619194
0	-0.997451	-0.982087	-0.933799	-0.104489	-0.881134	-0.31651	-0.931888	-0.429939	-0.99241	-0.432359	-0.974746	-0.140975	-0.997087	-0.560218	-0.989791	-0.164866	-0.845937	-0.286239	-0.447006	0.0819318	-0.981369	-0.894232	-0.982075	-0.634162	-0.98777	-0.572319	-0.990802	1	-0.604311
